Heating Controls Model,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Transition Probability Matrix,,,,,,,,,,,,,,,,
,,,,,,,Heating resulting,,,,,,,,Heating resulting,
,,Heating controls timer state @t+1,,,,,probability of 'on',,,Cooling controls timer state @t+1,,,,,probability of 'on',
Half hour period number,Heating controls timer state  @t,Weekdays,,Weekends,,,week,weekend,,Weekdays,,Weekends,,,week,weekend
,,0,1,0,1,,,,,0,1,0,1,,,
27,1,0.196,0.804,0.172,0.828,,0.510,0.570,,0.196,0.804,0.172,0.828,,0.510,0.570
28,0,0.796,0.204,0.767,0.233,,0.510,0.575,,0.796,0.204,0.767,0.233,,0.510,0.575
28,1,0.196,0.804,0.167,0.833,,0.510,0.575,,0.196,0.804,0.167,0.833,,0.510,0.575
29,0,0.776,0.224,0.760,0.240,,0.530,0.585,,0.776,0.224,0.76,0.24,,0.530,0.585
29,1,0.176,0.824,0.160,0.840,,0.530,0.585,,0.176,0.824,0.16,0.84,,0.530,0.585
30,0,0.768,0.232,0.746,0.254,,0.550,0.605,,0.768,0.232,0.746,0.254,,0.550,0.605
30,1,0.168,0.832,0.146,0.854,,0.550,0.605,,0.168,0.832,0.146,0.854,,0.550,0.605
31,0,0.740,0.260,0.733,0.267,,0.590,0.630,,0.74,0.26,0.733,0.267,,0.590,0.630
31,1,0.140,0.860,0.133,0.867,,0.590,0.630,,0.14,0.86,0.133,0.867,,0.590,0.630
32,0,0.704,0.296,0.718,0.282,,0.650,0.660,,0.704,0.296,0.718,0.282,,0.650,0.660
32,1,0.104,0.896,0.118,0.882,,0.650,0.660,,0.104,0.896,0.118,0.882,,0.650,0.660
33,0,0.690,0.310,0.711,0.289,,0.700,0.685,,0.69,0.31,0.711,0.289,,0.700,0.685
33,1,0.090,0.910,0.111,0.889,,0.700,0.685,,0.09,0.91,0.111,0.889,,0.700,0.685
34,0,0.685,0.315,0.711,0.289,,0.735,0.700,,0.685,0.315,0.711,0.289,,0.735,0.700
34,1,0.085,0.915,0.111,0.889,,0.735,0.700,,0.085,0.915,0.111,0.889,,0.735,0.700
35,0,0.711,0.289,0.730,0.270,,0.730,0.690,,0.711,0.289,0.73,0.27,,0.730,0.690
35,1,0.111,0.889,0.130,0.870,,0.730,0.690,,0.111,0.889,0.13,0.87,,0.730,0.690
36,0,0.723,0.277,0.744,0.256,,0.715,0.670,,0.05,0.95,0.05,0.95,,0.950,0.950
36,1,0.123,0.877,0.144,0.856,,0.715,0.670,,0.05,0.95,0.05,0.95,,0.950,0.950
37,0,0.744,0.256,0.762,0.238,,0.685,0.640,,0.05,0.95,0.05,0.95,,0.950,0.950
37,1,0.144,0.856,0.162,0.838,,0.685,0.640,,0.05,0.95,0.05,0.95,,0.950,0.950
38,0,0.761,0.239,0.784,0.216,,0.650,0.600,,0.05,0.95,0.05,0.95,,0.950,0.950
38,1,0.161,0.839,0.184,0.816,,0.650,0.600,,0.05,0.95,0.05,0.95,,0.950,0.950
39,0,0.775,0.225,0.800,0.200,,0.615,0.560,,0.05,0.95,0.05,0.95,,0.950,0.950
39,1,0.175,0.825,0.200,0.800,,0.615,0.560,,0.05,0.95,0.05,0.95,,0.950,0.950
40,0,0.799,0.201,0.836,0.164,,0.570,0.500,,0.05,0.95,0.05,0.95,,0.950,0.950
40,1,0.199,0.801,0.236,0.764,,0.570,0.500,,0.05,0.95,0.05,0.95,,0.950,0.950
41,0,0.827,0.173,0.845,0.155,,0.515,0.455,,0.05,0.95,0.05,0.95,,0.950,0.950
41,1,0.227,0.773,0.245,0.755,,0.515,0.455,,0.05,0.95,0.05,0.95,,0.950,0.950
42,0,0.854,0.146,0.873,0.127,,0.455,0.400,,0.05,0.95,0.05,0.95,,0.950,0.950
42,1,0.254,0.746,0.273,0.727,,0.455,0.400,,0.05,0.95,0.05,0.95,,0.950,0.950
43,0,0.893,0.107,0.905,0.095,,0.380,0.335,,0.05,0.95,0.05,0.95,,0.950,0.950
43,1,0.293,0.707,0.305,0.695,,0.380,0.335,,0.05,0.95,0.05,0.95,,0.950,0.950
44,0,0.928,0.072,0.941,0.059,,0.300,0.260,,0.05,0.95,0.05,0.95,,0.950,0.950
44,1,0.328,0.672,0.341,0.659,,0.300,0.260,,0.05,0.95,0.05,0.95,,0.950,0.950
45,0,0.965,0.035,0.966,0.034,,0.215,0.190,,0.05,0.95,0.05,0.95,,0.950,0.950
45,1,0.365,0.635,0.366,0.634,,0.215,0.190,,0.05,0.95,0.05,0.95,,0.950,0.950
46,0,0.979,0.021,0.969,0.031,,0.150,0.145,,0.05,0.95,0.05,0.95,,0.950,0.950
46,1,0.379,0.621,0.369,0.631,,0.150,0.145,,0.05,0.95,0.05,0.95,,0.950,0.950
47,0,0.970,0.030,0.965,0.036,,0.120,0.123,,0.05,0.95,0.05,0.95,,0.950,0.950
47,1,0.370,0.630,0.365,0.636,,0.120,0.123,,0.05,0.95,0.05,0.95,,0.950,0.950
48,0,0.982,0.018,0.974,0.027,,0.090,0.100,,0.05,0.95,0.05,0.95,,0.950,0.950
48,1,0.382,0.618,0.374,0.627,,0.090,0.100,,0.05,0.95,0.05,0.95,,0.950,0.950
