,Water fixture model configuration - probability distribution of hot water draw volume per event,,,,
,"Data estimated from Clarke, A., Grant, N., Thornton, J., 2009 Quantifying the energy and carbon effects of water saving: Final Report for the Environment Agency and Energy Saving Trust. ",,,,
,,,Tap volume (applies to basins and sinks),Shower volume,Bath volume
,,,Litres,Litres,Litres
,,lamba (mean),2.3,25.7,73.3
,k (event volume),,Probability of occurrence,,
,88,,3.67171519884529E-104,4.41004879059882E-22,0.010642924246861
,89,,9.48870219926309E-106,1.27346352717292E-22,0.008765464576347
,90,,2.4248905620339E-107,3.636445849816E-23,0.007138983927181
,91,,6.1288442776681E-109,1.02699624549748E-23,0.005750412328158
,92,,1.53221106941703E-110,2.86889168579189E-24,0.004581578517978
,93,,3.78933920393458E-112,7.92801250804855E-25,0.003611072100729
,94,,9.27178741388248E-114,2.16755235592391E-25,0.002815867925356
,95,,2.24474853178207E-115,5.8637995312889E-26,0.002172664409774
,96,,5.37804335739456E-117,1.56978799952213E-26,0.001658919804546
,97,,1.27520615690799E-118,4.15912902966173E-27,0.001253596099724
,98,,2.9928307764167E-120,1.09071036798272E-27,0.000937638715406
,99,,6.95304119773577E-122,2.83144004617736E-28,0.000694231493326
,100,,1.59919947547923E-123,7.27680091867582E-29,0.000508871684608
,101,,3.64174137980418E-125,1.85162161990068E-29,0.000369309846354
,102,,8.21176977798982E-127,4.66536035602426E-30,0.000265396193507
,103,,1.83369616401714E-128,1.16407535096916E-30,0.000188869329943
,104,,4.05528959349945E-130,2.87660928076033E-31,0.000133116556585
,105,,8.88301530004642E-132,7.04084366814671E-32,9.29280342633083E-05
,106,,1.92744671604781E-133,1.70707247425821E-32,6.42606123726462E-05
,107,,4.14310976346725E-135,4.10016472789122E-33,4.40215223076166E-05
,108,,8.82328931108766E-137,9.75687347285225E-34,2.98775702328546E-05
,109,,1.86179499224785E-138,2.30047383717709E-34,2.00919807162224E-05
,110,,3.89284407470006E-140,5.37474341958647E-35,1.338856533181E-05
,111,,8.06625348811724E-142,1.24442257552588E-35,8.84127782722227E-06
,112,,1.65646276988122E-143,2.85550537419777E-36,5.78630057799458E-06
,113,,3.37156139002372E-145,6.49437947937015E-37,3.75341444572569E-06
,114,,6.80227297987242E-147,1.46408379491064E-37,2.41337963922538E-06
,115,,1.36045459597448E-148,3.27190900253943E-38,1.53826719613235E-06
,116,,2.69745307822527E-150,7.24897080735029E-39,9.72025736866389E-07
,117,,5.30268553839156E-152,1.59229529699917E-39,6.08969970190653E-07
,118,,1.03357429985598E-153,3.46796518075242E-40,3.78283888262499E-07
,119,,1.99766461316702E-155,7.48963908784346E-41,2.33010159744883E-07
,120,,3.82885717523679E-157,1.60403103797981E-41,1.423303725775E-07
,121,,7.27799297772283E-159,3.40690889884967E-42,8.62216223961217E-08
,122,,1.37208064334119E-160,7.17684907380628E-43,5.18036468986534E-08
,123,,2.5656792517762E-162,1.49955301786034E-43,3.08716042087097E-08
,124,,4.7589211928107E-164,3.10794456121054E-44,1.82491015201486E-08
,125,,8.75641499477169E-166,6.38993401784886E-45,1.07012731314151E-08
,126,,1.59839321333134E-167,1.30334368459298E-45,6.22542317883118E-09
,127,,2.89472786666305E-169,2.63747501527871E-46,3.5930985748687E-09
,128,,5.20146413541018E-171,5.29555530411428E-47,2.05761035576465E-09
,129,,9.27392830344451E-173,1.05500597919176E-47,1.1691692951748E-09
,130,,1.64077193060941E-174,2.08566566655602E-48,6.5923161027933E-10
,131,,2.88074461099363E-176,4.09172577331983E-49,3.68867763614312E-10
,132,,5.01947924642829E-178,7.96646608896361E-50,2.04833386916129E-10
,133,,8.68030245622937E-180,1.53938480064936E-50,1.12889377901897E-10
,134,,1.48990266039758E-181,2.95240219229018E-51,6.17521746284256E-11
,135,,2.53835268067736E-183,5.62049898828576E-52,3.35291437056563E-11
,136,,4.29280232761612E-185,1.06210899999224E-52,1.80712223060633E-11
,137,,7.2068944186256E-187,1.99242345254018E-53,9.66876346740467E-12
,138,,1.20114906977093E-188,3.71052773407845E-54,5.1356547982664E-12
,139,,1.98751284926125E-190,6.86047214142562E-55,2.70822659505702E-12
,140,,3.2651996809292E-192,1.25938667167599E-55,1.41795006726914E-12
,141,,5.32621224548735E-194,2.29547783418957E-56,7.37132907310838E-13
,142,,8.62696349621191E-196,4.15449157314591E-57,3.80505930323129E-13
,143,,1.3875535693208E-197,7.46646387621328E-58,1.95042550298499E-13
,144,,2.21623139544294E-199,1.33255640012973E-58,9.92820759505555E-14
,145,,3.51540152380604E-201,2.36184134367821E-59,5.0188801152936E-14
,146,,5.53796130462595E-203,4.15748784469384E-60,2.51975282500699E-14
,147,,8.66483741540115E-205,7.26853317065521E-61,1.25644817736743E-14
,148,,1.34656257131234E-206,1.26217096274216E-61,6.22281428385357E-15
,149,,2.07858651947543E-208,2.17703313707875E-62,3.06129051682192E-15
,150,,0,0,3.77475828372553E-15
